Phase,Stage,Row type,To-do (one small step),How to test it works,Done
001 Monorepo Reorg,1,Step,Create the new top-level folders (backend/ admin/ frontend/ packages/content/ docs/),The five folders exist and npm test is still green,
001 Monorepo Reorg,2,Step,Add backend/engine/paths.js that defines every data root in one place,paths.js exports each data root and the app/CLI read paths from it,
001 Monorepo Reorg,3,Step,Move the engine (src/ -> backend/engine/) and update its imports,npm test is green with no broken-import errors,
001 Monorepo Reorg,4,Step,Move the data (prompts questions lexicons scenarios config data axes.json focus-points.json) -> packages/content/ and repoint the code,A run loads questions/lexicons from the new location and npm test is green,
001 Monorepo Reorg,5,Step,Move the API server into backend/api/ and the existing UI into root admin/ and update build config,The app boots and a run works end-to-end,
001 Monorepo Reorg,6,Step,Move docs (plans/ notes/ archives/ PLAN.md darren.md) -> docs/,Docs are present under docs/ and nothing points at the old paths,
001 Monorepo Reorg,7,Step,Delete debris (the two stray PNGs) and update package.json scripts eslint.config.js and the vite configs,npm test is green the npm scripts run and lint passes,
001 Monorepo Reorg,QA,QA sign-off,npm test is green (same count as before the move),Test count matches the pre-move count,
001 Monorepo Reorg,QA,QA sign-off,The app starts and a run works end-to-end,Start the app and complete one full run,
001 Monorepo Reorg,QA,QA sign-off,The CLI runs an offline replay with no errors,node scripts/replay-scenario.js <id> --fixtures-only finishes clean,
001 Monorepo Reorg,QA,QA sign-off,Nothing behaves differently (purely structural),Same inputs give the same outputs as before,
002 Conventions & Skills,1,Step,Review popular convention/TDD/security skills on skills.sh and decide borrow vs write-our-own,The decision is logged in PROGRESS.md,
002 Conventions & Skills,2,Step,Install the TDD skill and the chosen security skills and confirm they load,All installed skills load without error,
002 Conventions & Skills,3,Step,Write the backend-conventions and frontend-conventions skills,Both skills load and cover naming inheritance TypeScript REST errors and folder layout,
002 Conventions & Skills,4,Step,Set up TypeScript tooling the test runner and the mirrored test directory layout,Strict tsconfig builds the test runner runs and the tests/ tree mirrors the domains,
002 Conventions & Skills,5,Step,Wire CLAUDE.md to reference each skill for the matching kind of work,The CLAUDE.md links resolve to the new skills,
002 Conventions & Skills,QA,QA sign-off,Both convention skills + the TDD skill + security skills load without error,Load each skill and confirm no error,
002 Conventions & Skills,QA,QA sign-off,A tiny sample change follows red -> green in correctly-named files in the right places,Make one small change test-first and check naming/placement,
002 Conventions & Skills,QA,QA sign-off,CLAUDE.md links resolve to the new skills,Click each link in CLAUDE.md,
003 TypeScript Conversion,1,Step,Turn on a strict tsconfig for the backend,The strict tsconfig builds,
003 TypeScript Conversion,2,Step,Define the shared core types/interfaces (session focus point question axis state briefing evaluation),The types compile and modules import them,
003 TypeScript Conversion,3,Step,Convert leaf modules first then work up the dependency graph keeping tests green at each step,npm test is green after each module and .ts replaces .js,
003 TypeScript Conversion,4,Step,Remove anys and tighten contracts where types reveal loose spots,No any remains in the converted code,
003 TypeScript Conversion,QA,QA sign-off,npm run build (typecheck) passes strict with no any in the converted code,Run the typecheck and grep for any,
003 TypeScript Conversion,QA,QA sign-off,npm test is green,Run npm test,
003 TypeScript Conversion,QA,QA sign-off,The app and the CLI behave identically to before the conversion,Same inputs give the same outputs,
004 Backend API v1,1,Step,List the resources/domains and write the /api/v1/ contract,A contract doc lists every endpoint its verb and its payload,
004 Backend API v1,2,Step,Stand up the middleware layer (error context/session CORS auth placeholder),Errors return one shared shape CORS works and context is attached,
004 Backend API v1,3,Step,Build each domain controller -> service -> repo TDD with repos file-backed for now,Each service has tests written before the code and the routes work,
004 Backend API v1,4,Step,Set up the mirrored test tree,Unit tests sit beside the code and integration/e2e live under tests/ shaped like the domains,
004 Backend API v1,QA,QA sign-off,Every route is under /api/v1/ and follows REST verbs and status codes,Hit each route and check method + status code,
004 Backend API v1,QA,QA sign-off,Each service has passing tests written before the code,Review the test history per service,
004 Backend API v1,QA,QA sign-off,A repo's storage could be swapped without touching its service,Confirm the repo seam behind the interface,
005 Postgres Foundation,1,Step,Choose the migration tool (Drizzle or Prisma) and log the decision,The choice is recorded in PROGRESS.md,
005 Postgres Foundation,2,Step,Write the first migration (organizations users sessions runs invitations),The migration builds the database from clean with one command,
005 Postgres Foundation,3,Step,Add the connection pool and swap the session/user repos to Postgres behind the same interface,The services are unchanged and the repos now read/write Postgres,
005 Postgres Foundation,4,Step,Add docker-compose for local Postgres and a DATABASE_URL setting,A teammate can spin up the DB from the documented command,
005 Postgres Foundation,QA,QA sign-off,Migrations build the database from clean with one command,Run the migrate command on an empty DB,
005 Postgres Foundation,QA,QA sign-off,Create a session restart the server and it is restored from the database,Restart and confirm the session is still there,
005 Postgres Foundation,QA,QA sign-off,npm test stays green and a teammate can spin up the DB,Run npm test and follow the spin-up doc,
006 Auth,1,Step,Finalise the organizations / users / auth_identities / invitations schema,The tables exist with all the required fields,
006 Auth,2,Step,Implement password hashing + register + login,Passwords are hashed (argon2id or bcrypt) and raw passwords are never stored,
006 Auth,3,Step,Issue and verify a login token/cookie and add the auth middleware,A protected route is refused when logged out,
006 Auth,4,Step,Make signup create the org + owner and scope all tenant data by org_id,Registering creates a user AND an org with that user as owner,
006 Auth,QA,QA sign-off,Registering creates a user AND an organisation with that user as owner,Register and check both records,
006 Auth,QA,QA sign-off,Login works and a protected route is refused when logged out,Log in then hit a protected route while logged out,
